Longitude,Latitude,Green Index
128.838821,35.150709,11.24578171
128.83876,35.150682,8.364922337
128.840848,35.150712,7.53542206
128.838713,35.150709,10.63355214
128.8386,35.150709,9.454742973
128.840963,35.15071,8.097667807
128.841085,35.15071,9.170153014
128.838495,35.15068,6.570127589
128.83844,35.15071,8.299914479
128.841213,35.150711,9.911242604
128.838354,35.15068,6.569838665
128.841208,35.150681,10.59945913
128.838297,35.150709,8.272466716
128.841335,35.150715,8.908965884
128.84131,35.150682,10.02074473
128.838174,35.15071,11.37608635
128.841446,35.150728,9.142416328
128.841436,35.150695,9.565400795
128.841499,35.150743,9.98896311
128.838057,35.15071,10.83811021
128.841567,35.150761,11.09409671
128.841631,35.150811,11.09207424
128.841666,35.150835,10.38652228
128.841745,35.150888,6.762839774
128.841765,35.150904,8.982930381
128.837943,35.15071,11.60491402
128.838951,35.150707,10.87306999
128.8391,35.150706,12.26192678
128.83902,35.150682,10.03519092
128.838893,35.150682,9.630986501
128.838821,35.150709,11.24578171
128.839148,35.150681,11.35990662
128.8392,35.150706,13.07149131
128.83876,35.150682,8.364922337
128.839304,35.150707,12.64215052
128.838713,35.150709,10.63355214
128.839413,35.150708,14.07636834
128.8386,35.150709,9.454742973
128.839521,35.150709,13.61842409
128.838495,35.15068,6.570127589
128.83844,35.15071,8.299914479
128.83963,35.150709,13.70799048
128.838354,35.15068,6.569838665
128.838297,35.150709,8.272466716
128.83974,35.150709,13.15903523
128.839845,35.150709,14.24018815
128.838174,35.15071,11.37608635
128.839946,35.150709,14.03534116
128.838057,35.15071,10.83811021
128.839982,35.15068,12.36998428
128.840052,35.150709,12.3301128
128.837943,35.15071,11.60491402
128.840109,35.150681,10.66706731
128.840161,35.150708,10.74681028
128.837826,35.150709,10.16000601
128.840235,35.150682,12.71611501
128.840272,35.150707,13.12291975
128.837712,35.150709,11.14783654
128.84036,35.150682,13.27662722
128.840385,35.150707,12.75280834
128.837637,35.150677,10.92074242
128.837593,35.150712,9.231115939
128.840484,35.150682,10.60494869
128.837533,35.150677,10.56536612
128.840501,35.150708,10.81268491
128.837477,35.150722,10.31775841
128.837415,35.150678,11.54077293
128.840616,35.15071,8.240107249
128.83736,35.150732,9.839878421
128.837291,35.150678,11.01868759
128.837239,35.150737,10.02999029
128.840848,35.150712,7.53542206
128.837166,35.150678,10.90542946
128.837115,35.15074,9.535641642
128.840963,35.15071,8.097667807
128.837037,35.150679,9.943024223
128.896881,35.086654,11.10016411
128.89699,35.086653,12.0050735
128.897098,35.086653,13.53348049
128.896516,35.086654,15.83158053
128.897206,35.086654,11.7502427
128.896392,35.086655,13.24426775
128.897323,35.086657,12.0475453
128.89621,35.086566,9.115257489
128.896174,35.086458,10.07881842
128.896251,35.08668,6.433755547
128.896149,35.086382,10.33971662
128.8962,35.086638,9.513394508
128.896133,35.086463,11.60693648
128.897434,35.086659,24.17165542
128.89613,35.0863,10.33596061
128.896292,35.086787,7.677572578
128.896235,35.086731,9.322704789
128.896108,35.086382,11.18568556
128.896119,35.08618,11.42895941
128.896333,35.086895,9.924822023
